sample	group	r1	r2
SO289_1	SO289	/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212550_S10_L002_R1_001.fastq.gz,/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212550_S10_L003_R1_001.fastq.gz	/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212550_S10_L002_R2_001.fastq.gz,/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212550_S10_L003_R2_001.fastq.gz
SO289_3	SO289	/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212551_S11_L002_R1_001.fastq.gz,/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212551_S11_L003_R1_001.fastq.gz	/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212551_S11_L002_R2_001.fastq.gz,/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212551_S11_L003_R2_001.fastq.gz
SO289_6	SO289	/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212552_S12_L002_R1_001.fastq.gz,/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212552_S12_L003_R1_001.fastq.gz	/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212552_S12_L002_R2_001.fastq.gz,/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212552_S12_L003_R2_001.fastq.gz
SO289_9	SO289	/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212553_S13_L002_R1_001.fastq.gz,/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212553_S13_L003_R1_001.fastq.gz	/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212553_S13_L002_R2_001.fastq.gz,/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212553_S13_L003_R2_001.fastq.gz
SO289_12	SO289	/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212554_S14_L002_R1_001.fastq.gz,/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212554_S14_L003_R1_001.fastq.gz	/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212554_S14_L002_R2_001.fastq.gz,/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212554_S14_L003_R2_001.fastq.gz
SO289_13	SO289	/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212555_S15_L002_R1_001.fastq.gz,/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212555_S15_L003_R1_001.fastq.gz	/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212555_S15_L002_R2_001.fastq.gz,/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212555_S15_L003_R2_001.fastq.gz
SO289_16	SO289	/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212556_S16_L002_R1_001.fastq.gz,/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212556_S16_L003_R1_001.fastq.gz	/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212556_S16_L002_R2_001.fastq.gz,/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212556_S16_L003_R2_001.fastq.gz
SO289_17	SO289	/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212557_S17_L002_R1_001.fastq.gz,/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212557_S17_L003_R1_001.fastq.gz	/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212557_S17_L002_R2_001.fastq.gz,/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212557_S17_L003_R2_001.fastq.gz
SO289_20	SO289	/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212558_S18_L002_R1_001.fastq.gz,/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212558_S18_L003_R1_001.fastq.gz	/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212558_S18_L002_R2_001.fastq.gz,/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212558_S18_L003_R2_001.fastq.gz
SO289_23	SO289	/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212559_S19_L002_R1_001.fastq.gz,/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212559_S19_L003_R1_001.fastq.gz	/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212559_S19_L002_R2_001.fastq.gz,/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212559_S19_L003_R2_001.fastq.gz
SO289_27	SO289	/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212560_S20_L002_R1_001.fastq.gz,/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212560_S20_L003_R1_001.fastq.gz	/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212560_S20_L002_R2_001.fastq.gz,/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212560_S20_L003_R2_001.fastq.gz
SO289_30	SO289	/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212561_S21_L002_R1_001.fastq.gz,/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212561_S21_L003_R1_001.fastq.gz	/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212561_S21_L002_R2_001.fastq.gz,/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212561_S21_L003_R2_001.fastq.gz
SO289_32	SO289	/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212562_S22_L002_R1_001.fastq.gz,/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212562_S22_L003_R1_001.fastq.gz	/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212562_S22_L002_R2_001.fastq.gz,/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212562_S22_L003_R2_001.fastq.gz
SO289_33	SO289	/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212563_S23_L002_R1_001.fastq.gz,/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212563_S23_L003_R1_001.fastq.gz	/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212563_S23_L002_R2_001.fastq.gz,/lisc/scratch/oceanography/efadeev/SO289/raw_data/merged_fastq/212563_S23_L003_R2_001.fastq.gz
