"Cruise" "Sample_ID" "Population" "root" "Prop" "Station_name" "Station_ID" "Dilution_factor" "Time_s" "Flowrate" "Depth..m." "Region" "Volume" "Cell_conc"
"1" "SO289" "EF100" 24337 27280 0.892118768328446 "EV001" "SO289_1" 2 60 5 5 "UP" 54.7485135135135 889046.969064938
"2" "SO289" "EF102" 51559 53784 0.958630819574595 "EV002" "SO289_3" 2 60 3 5 "UP" 39.3195945945946 2622560.10173045
"3" "SO289" "EF108" 16325 18147 0.899597729652284 "EV005" "SO289_6" 2 60 10 5 "TRAN" 93.3208108108108 349868.370370156
"4" "SO289" "EF114" 3345 3975 0.841509433962264 "EV008" "SO289_9" 2 60 10 5 "TRAN" 93.3208108108108 71688.1898246966
"5" "SO289" "EF116" 4546 5156 0.881691233514352 "EV009" "SO289_12" 2 60 10 5 "TRAN" 93.3208108108108 97427.3575315607
"6" "SO289" "EF122" 3568 4055 0.879901356350185 "EV012" "SO289_13" 2 60 10 5 "TRAN" 93.3208108108108 76467.4024796763
"7" "SO289" "EF124" 2053 2647 0.775595013222516 "EV013" "SO289_16" 2 60 10 5 "GYRE" 93.3208108108108 43998.7604514505
"8" "SO289" "EF130" 2484 3277 0.758010375343302 "EV016" "SO289_17" 2 60 10 5 "GYRE" 93.3208108108108 53235.7140581603
"9" "SO289" "EF132" 3532 4058 0.870379497289305 "EV017" "SO289_20" 2 60 10 5 "GYRE" 93.3208108108108 75695.8703918769
"10" "SO289" "EF142" 1015 1254 0.809409888357257 "EV022" "SO289_23" 2 60 10 5 "GYRE" 93.3208108108108 21752.9185865671
"11" "SO289" "EF144" 4039 5738 0.703903799233182 "EV023" "SO289_27" 2 60 10 5 "GYRE" 93.3208108108108 86561.6139617188
"12" "SO289" "EF146" 3128 3629 0.861945439515018 "EV024" "SO289_30" 2 60 10 5 "GYRE" 93.3208108108108 67037.5658510167
"13" "SO289" "EF148" 2146 3183 0.674206723217091 "EV025" "SO289_32" 2 60 10 5 "GYRE" 93.3208108108108 45991.885011599
"14" "SO289" "EF154" 4141 4538 0.912516527104451 "EV028" "SO289_33" 2 60 10 5 "WEST" 93.3208108108108 88747.6215438172
"15" "SO289" "EF156" 4628 5724 0.808525506638714 "EV029" "SO289_34" 2 60 10 5 "WEST" 93.3208108108108 99184.7361759927
"16" "SO289" "EF162" 4649 5285 0.879659413434248 "EV032" "SO289_37" 2 60 10 5 "WEST" 93.3208108108108 99634.7965605424
"17" "SO289" "EF164" 4653 5718 0.813746065057713 "EV033" "SO289_39" 2 60 10 5 "WEST" 93.3208108108108 99720.5223480757
"18" "SO289" "EF166" 4283 4817 0.889142619887897 "EV034" "SO289_41" 2 60 10 5 "WEST" 93.3208108108108 91790.8870012482
"19" "SO289" "EF172" 3545 4322 0.820222119389172 "EV037" "SO289_43" 2 60 10 5 "WEST" 93.3208108108108 75974.47920136
"20" "SO289" "EF178" 5929 7397 0.801541165337299 "EV040" "SO289_44" 2 60 10 5 "WEST" 93.3208108108108 127067.048571189
