Num	Station	Date	Time	Lon	Lat	Bottle	Depth	MLD	Label	Chla	sample	C2	C3	Chlphyllide_a	Peridinin	19_But	Fucoxanthin	Neox	Pras	19_Hex	Diadino_diatox	Diatox	Violaxanthin	Alloxanthin	Zeaxanthin	Lutein	Chl_b	Div_a	Chl_a	alpha-beta-Carotene
1	Stn1	23/02/2022	16:33	-71.72918	-33.6076	14	30	7	lower	0.58	1_1_20014_SO289	52.36364694	47.15948629	11.83820421	7.091071618	15.56235389	145.7354396	4.482024699	12.73137725	30.94940905	11.86978528	0	2.343921017	0	7.102487834	0	45.19459543	0	317.049476	10.72049945
2	Stn1	23/02/2022	16:33	-71.72918	-33.6076	18	15	7	lower	1.39	1_2_20018_SO289	115.7691933	47.02005638	57.68608335	7.718970521	9.113958709	330.8631475	3.04542022	8.528466124	20.98443748	41.23023301	0	3.846788022	0	11.75903472	0	29.21154325	0	653.746255	20.658195
3	Stn1	23/02/2022	16:33	-71.72918	-33.6076	22	5	7	upper	4.47	1_3_20022_SO289	367.7560562	48.51088389	145.3175513	13.83889183	7.622377415	526.9413818	5.827991671	13.6653575	35.57746757	125.1002797	0	10.68207534	0	34.45150264	0	43.19877571	0	2712.185909	110.6767298
4	Stn2	23/02/2022	21:57	-71.82526	-33.0901	3	150	5	lower	0.07	1_4_20026_SO289	1.421536969	0	0	0	0.907425883	4.599752855	0	0	0	0	0	0	0	0	0	0	0	8.462543176	2.14749204
5	Stn2	23/02/2022	21:57	-71.82526	-33.0901	6	100	5	lower	0.07	1_5_20028_SO289	2.33035813	0.282434949	0	0	0.298694353	7.999239894	0	0	0	0	0	0	0	0	0	0	0	20.17004755	1.878729367
6	Stn2	23/02/2022	21:57	-71.82526	-33.0901	8	75	5	lower	0.06	1_6_20030_SO289	88.70723859	14.51143619	39.33926322	1.328355014	0.529331765	294.437359	0	0.361642184	1.405992461	65.89207869	0	0.344694267	0	0	0	4.805362094	0	449.2939736	11.66377815
7	Stn2	23/02/2022	21:57	-71.82526	-33.0901	11	50	5	lower	0.20	1_7_20032_SO289	10.56712833	13.18148934	0	0	1.916937177	36.97084592	0	5.858603388	9.783364208	3.025015826	0	0	0	0	0	13.6573449	0	95.91375422	3.088161397
8	Stn2	23/02/2022	21:57	-71.82526	-33.0901	13	25	5	lower	1.16	1_8_20034_SO289	79.20626299	56.63535759	26.16866194	10.03801047	8.189518591	298.0229632	4.078687794	11.70777263	15.75297387	24.10243291	0	1.516654776	0	8.360179868	0	37.27729404	0	590.3807438	16.93987646
9	Stn2	23/02/2022	21:57	-71.82526	-33.0901	15	5	5	upper	13.62	1_9_20036_SO289	1116.178612	0	1985.568792	14.38307088	12.98753295	3415.396259	5.275102881	10.24076325	52.42594389	588.325454	0	4.832613626	0	42.94671079	0	40.46070898	0	2755.978091	77.08661433
10	Stn3	24/02/2022	08:59	-71.86386	-32.96728	2	150	5	lower	0.02	1_10_20050_SO289	0.375744798	0	0	0	0.291132471	3.756528136	0	0	0	0	0	0	0	0	0	0	0	3.530991209	0.547962732
11	Stn3	24/02/2022	08:59	-71.86386	-32.96728	5	100	5	lower	0.04	1_11_20053_SO289	0.557138838	0	0	0	0	2.40432994	0	0	0	0	0	0	0	0	0	0	0	3.698663976	0
12	Stn3	24/02/2022	08:59	-71.86386	-32.96728	8	75	5	lower	0.10	1_12_20056_SO289	1.227186211	0	0	0	0	3.441268445	0	0	0	0	0	0	0	0	0	0	0	7.772125901	0
