sample	Lat	Lon	Station	syn_counts	pico_counts	nano_counts	pro_counts
ZY_E1	-32.5	-72.84	Stn6	81960.2	1484.7	266.6	130336.5
ZY_E2	-32.5	-78.77	Stn9	9473.1	2216	1245	92770.5
ZY_E3	-32.5	-86.4	Stn12	13225.5	10196.9	782.7	36631.8
ZY_E7	-31.43	-128	Stn28	783.6	324.7	209.3	41701.5
ZY_E10	-26.17	-167.35	Stn37	1580.4	309.1	268.8	152281.1
ZY_E12	-25.72	177.97	Stn42	1456.8	425.2	278.8	161709.1
HL_E1	-32.5	-73.43	Stn7	206411.8	3709.1	707.7	199205.4
HL_E2	-32.5	-82.72	Stn10	29533.2	2686.2	1226.9	183682.1
HL_E3	-32.5	-93.89	Stn14	3033.7	1687.7	473.2	54731.3
HL_E6	-31.43	-125.28	Stn27	629.1	360.2	144.6	23945.3
HL_E7	-31.43	-135.48	Stn30	993.3	245.8	210.3	36740.5
HL_E10	-26.17	-164	Stn36	1076.7	239.3	175.6	78194.8
HL_E11	-26.17	-174.94	Stn39	2258.3	326.3	464.7	141270
