gene_callers_id	deeploc
14417922	Cytoplasmic
13139971	Periplasmic
7602190	Outer Membrane
14483474	Periplasmic
1933336	Cytoplasmic
6946841	Outer Membrane
5996585	Outer Membrane
2129962	Cytoplasmic
1572907	Outer Membrane
14155827	Outer Membrane
16515129	Extracellular
12845114	Cytoplasmic
8618046	Cytoplasmic
8421445	Outer Membrane
16515144	Cytoplasmic Membrane
1704009	Outer Membrane
9437257	Extracellular
11436115	Outer Membrane
7864423	Outer Membrane
1769575	Outer Membrane
7635048	Cytoplasmic
6094967	Cytoplasmic
8061048	Cytoplasmic Membrane
3211399	Outer Membrane
786568	Outer Membrane
3997834	Cytoplasmic
4718739	Cytoplasmic
10322069	Cytoplasmic Membrane
5931163	Periplasmic
5472414	Cytoplasmic
13336742	Cytoplasmic
13336743	Outer Membrane
13336744	Cytoplasmic
13336753	Cytoplasmic
13336754	Outer Membrane
13336757	Outer Membrane
11632823	Cytoplasmic
7504057	Cytoplasmic
6553786	Cytoplasmic
4817081	Cytoplasmic
13336766	Cytoplasmic
11501759	Outer Membrane
13336767	Cytoplasmic
8159425	Periplasmic
7635143	Extracellular
13074641	Extracellular
9765076	Cytoplasmic
11534551	Outer Membrane
6848727	Cytoplasmic Membrane
4456664	Outer Membrane
4653274	Cytoplasmic
10682587	Cytoplasmic
10223833	Cytoplasmic
7504090	Cytoplasmic
10584286	Cytoplasmic
13828321	Cytoplasmic Membrane
10060005	Cytoplasmic
11698408	Periplasmic
12681456	Outer Membrane
2130172	Cytoplasmic
9896189	Outer Membrane
16417026	Outer Membrane
1278222	Outer Membrane
2195727	Cell wall & surface
2425114	Cytoplasmic Membrane
7078171	Cytoplasmic
11075874	Extracellular
14549285	Outer Membrane
4587832	Cytoplasmic Membrane
9175358	Cytoplasmic
1933634	Cytoplasmic
4522311	Outer Membrane
5177671	Outer Membrane
10715479	Cytoplasmic
8913241	Cytoplasmic
11338077	Periplasmic
10944864	Cytoplasmic
15008102	Outer Membrane
4620650	Cytoplasmic Membrane
14549363	Cytoplasmic Membrane
1507701	Cytoplasmic
13042039	Cytoplasmic
11796857	Cytoplasmic
13042042	Cytoplasmic
721281	Periplasmic
3309957	Periplasmic
15597958	Outer Membrane
10289546	Cytoplasmic
14385553	Periplasmic
11501979	Cytoplasmic Membrane
7995810	Outer Membrane
3801508	Periplasmic
3703205	Cytoplasmic
4522426	Cytoplasmic
1638843	Cytoplasmic
1049020	Cytoplasmic
11010506	Cytoplasmic Membrane
4850124	Cytoplasmic
15237584	Cytoplasmic
8880598	Periplasmic
3477924	Outer Membrane
9408949	Cytoplasmic
2036152	Periplasmic
15929785	Cytoplasmic Membrane
15929786	Cytoplasmic
3019195	Cytoplasmic
15929788	Cytoplasmic
397755	Periplasmic
14717374	Cytoplasmic
6394312	Cytoplasmic
8458697	Periplasmic
2855376	Outer Membrane
10588627	Cytoplasmic Membrane
12292577	Outer Membrane
4821478	Cytoplasmic
11604460	Cytoplasmic Membrane
2888175	Cytoplasmic
8851956	Cytoplasmic Membrane
8851958	Periplasmic
3150327	Extracellular
13341178	Periplasmic
8851963	Cytoplasmic
15798790	Periplasmic
9015816	Outer Membrane
1839634	Periplasmic
15700499	Outer Membrane
11112989	Outer Membrane
4297249	Cytoplasmic
14881315	Cytoplasmic
15634983	Cytoplasmic
8196657	Cytoplasmic
12751411	Cytoplasmic
1446452	Outer Membrane
14225974	Outer Membrane
9081409	Cytoplasmic
11342402	Cytoplasmic Membrane
15110723	Cytoplasmic Membrane
9736775	Outer Membrane
5050953	Outer Membrane
4395593	Cytoplasmic
6165072	Cytoplasmic
12030544	Outer Membrane
2527827	Cytoplasmic
10326614	Cytoplasmic Membrane
8983133	Periplasmic
10130014	Cytoplasmic
12063327	Periplasmic
16487012	Cytoplasmic
2560614	Cytoplasmic
14029414	Cytoplasmic
11178607	Periplasmic
7541368	Cytoplasmic Membrane
103046	Outer Membrane
3445383	Cytoplasmic
12882568	Cytoplasmic
3641993	Periplasmic
13243021	Outer Membrane
13243022	Outer Membrane
16093847	Cytoplasmic
16650906	Outer Membrane
11211427	Cytoplasmic
9376424	Extracellular
7246508	Outer Membrane
13963953	Outer Membrane
4330162	Cytoplasmic
12325553	Cytoplasmic
14291645	Outer Membrane
2855615	Outer Membrane
234178	Cytoplasmic
6329028	Cytoplasmic Membrane
8491722	Periplasmic
135897	Cytoplasmic Membrane
11539169	Outer Membrane
11539170	Outer Membrane
332515	Cytoplasmic
11539171	Outer Membrane
7607012	Cytoplasmic
12817130	Periplasmic
14324461	Outer Membrane
6984429	Cytoplasmic
3412729	Outer Membrane
14521084	Cytoplasmic Membrane
1905406	Periplasmic
8688384	Cytoplasmic Membrane
11637507	Outer Membrane
12358408	Extracellular
201483	Cytoplasmic
15405839	Cytoplasmic
8852244	Cytoplasmic
37653	Outer Membrane
16093992	Outer Membrane
16159528	Cytoplasmic
14291763	Cytoplasmic Membrane
9966391	Outer Membrane
2167608	Extracellular
5378878	Cytoplasmic
13800256	Outer Membrane
3150660	Cytoplasmic
7738191	Cytoplasmic
4658000	Cytoplasmic
11305432	Cytoplasmic Membrane
12747224	Outer Membrane
6095336	Cytoplasmic
16417256	Cytoplasmic
4325871	Cytoplasmic
2523633	Outer Membrane
10912244	Extracellular
6291958	Outer Membrane
4325881	Outer Membrane
1868282	Cytoplasmic
10224123	Cytoplasmic
7864828	Periplasmic
3572225	Outer Membrane
6357514	Periplasmic
3572237	Cytoplasmic
10519054	Periplasmic
8847905	Outer Membrane
9208353	Cytoplasmic Membrane
3899941	Cytoplasmic
1901096	Cytoplasmic Membrane
10355246	Cytoplasmic
15106614	Outer Membrane
10846792	Cytoplasmic
12517964	Cytoplasmic Membrane
9634386	Periplasmic
9142866	Outer Membrane
754259	Cytoplasmic
5210709	Cytoplasmic
5210712	Cytoplasmic
10060381	Outer Membrane
12059231	Cytoplasmic Membrane
9110113	Cytoplasmic
5964386	Outer Membrane
5866089	Cytoplasmic Membrane
4325997	Cytoplasmic Membrane
11764345	Cytoplasmic
7078524	Cytoplasmic
11272830	Cytoplasmic
8618623	Outer Membrane
10912397	Outer Membrane
10715792	Outer Membrane
492183	Extracellular
10912421	Outer Membrane
1639087	Outer Membrane
918192	Cytoplasmic
5702324	Extracellular
11731636	Cytoplasmic
10879673	Cytoplasmic
1573573	Cytoplasmic Membrane
4981447	Outer Membrane
11797199	Outer Membrane
2032338	Extracellular
5898969	Outer Membrane
7537373	Outer Membrane
4555497	Periplasmic
8618733	Outer Membrane
8323822	Outer Membrane
10158831	Outer Membrane
13140722	Outer Membrane
8979197	Cytoplasmic Membrane
2491137	Periplasmic
8946440	Periplasmic
4326157	Outer Membrane
3015445	Periplasmic
16483098	Cytoplasmic
11698975	Cytoplasmic Membrane
16909089	Outer Membrane
12223266	Cytoplasmic Membrane
8946467	Outer Membrane
4490025	Cytoplasmic
16548653	Cytoplasmic
16909102	Outer Membrane
10027829	Cytoplasmic
6882105	Outer Membrane
10552123	Cytoplasmic
4916031	Outer Membrane
15696707	Outer Membrane
12223308	Cytoplasmic
3703634	Cytoplasmic
14123859	Cytoplasmic
4948824	Cytoplasmic Membrane
4260698	Cytoplasmic
13173598	Cytoplasmic
5178224	Periplasmic
10355576	Cytoplasmic
14549885	Outer Membrane
15926146	Outer Membrane
5636996	Outer Membrane
6161287	Cytoplasmic
15467403	Periplasmic
1803149	Outer Membrane
6194064	Outer Membrane
914	Periplasmic
13239190	Cytoplasmic
1475490	Outer Membrane
6685611	Cytoplasmic
11862956	Outer Membrane
11568045	Outer Membrane
230319	Cytoplasmic
492467	Outer Membrane
12817238	Cytoplasmic
10687323	Cytoplasmic
6427495	Cytoplasmic
5116775	Periplasmic
12915562	Outer Membrane
10392431	Extracellular
11408248	Periplasmic
5018496	Outer Membrane
12096394	Periplasmic
16323468	Outer Membrane
1446797	Cytoplasmic Membrane
14324622	Periplasmic
14193556	Cytoplasmic
9966489	Cytoplasmic
5837723	Cytoplasmic
15963035	Periplasmic
3314588	Cytoplasmic
5510047	Outer Membrane
2954147	Periplasmic
15602602	Cytoplasmic
10556339	Outer Membrane
