gene_callers_id	EC_number	annotation
8946440 1.10.3.2:1 AA1_e1
11731636 - GT81_e1
11862956 3.2.1.151:27|3.2.1.150:4 GH74_e1
4724889 2.4.1.18:57 CBM48_e2
10262871 2.4.1.97:1 GH149_e0
11672114 - AA2_e1
12101311 - GT81_e18
13151267 - GT5_e17
11451193 - GT81_e1
6700623 - AA2_e1
8830605 - AA2_e1
7981408 -|- AA2_e1|AA2_e1
15519467 3.2.1.39:1 CBM103|GH16_3
13128888 - GT81_e18
11592718 2.4.1.1:158 GT35_e0
15100000 3.2.1.151:27|3.2.1.150:4|3.2.1.151:27|3.2.1.150:4 GH74_e1|GH74_e1
6097748 2.4.1.18:14 GH13_9
4321786 - GT4_e2517
4488323 - CE20_e41
5734345 - GT4_e2517
