"gene_callers_id"	"taxon_id"	"Phylum"	"Order"	"Class"	"Family"	"Genus"	"Species"
"1"	"19985"	246	"Bacteroidota"	"Unknown_Bacteroidota"	"Unknown_Bacteroidota"	"Unknown_Bacteroidota"	"Unknown_Bacteroidota"	"Bacteroidota bacterium"
"2"	"27182"	327	"Cyanobacteriota"	"Synechococcales"	"Cyanophyceae"	"Synechococcaceae"	"Synechococcus"	"Unknown_Synechococcus"
"3"	"50206"	19	"Pseudomonadota"	"Pelagibacterales"	"Alphaproteobacteria"	"Candidatus Pelagibacteraceae"	"Candidatus Pelagibacter"	"Candidatus Pelagibacter ubique"
"4"	"56782"	103	"Bacteroidota"	"Flavobacteriales"	"Flavobacteriia"	"Unknown_Flavobacteriia"	"Unknown_Flavobacteriia"	"Unknown_Flavobacteriia"
"5"	"62472"	30	"Pseudomonadota"	"Pelagibacterales"	"Alphaproteobacteria"	"Candidatus Pelagibacteraceae"	"Unknown_Candidatus_Pelagibacteraceae"	"Pelagibacteraceae bacterium TMED65"
"6"	"64504"	523	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"SAR116 cluster bacterium MED-G06"
"7"	"94248"	38	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Alphaproteobacteria bacterium"
"8"	"98403"	109	"Cyanobacteriota"	"Synechococcales"	"Cyanophyceae"	"Prochlorococcaceae"	"Prochlorococcus"	"uncultured Prochlorococcus sp."
"9"	"110828"	20	"Cyanobacteriota"	"Synechococcales"	"Cyanophyceae"	"Prochlorococcaceae"	"Prochlorococcus"	"Prochlorococcus marinus"
"10"	"133867"	917	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Betaproteobacteria"	"Unknown_Betaproteobacteria"	"Unknown_Betaproteobacteria"	"Unknown_Betaproteobacteria"
"11"	"134277"	82	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Gammaproteobacteria"	"Unknown_Gammaproteobacteria"	"Unknown_Gammaproteobacteria"	"SAR86 cluster bacterium"
"12"	"150197"	984	"Pseudomonadota"	"Alteromonadales"	"Gammaproteobacteria"	"Alteromonadaceae"	"Alteromonas"	"Alteromonas flava"
"13"	"220418"	65	"Cyanobacteriota"	"Synechococcales"	"Cyanophyceae"	"Prochlorococcaceae"	"Prochlorococcus"	"Unknown_Prochlorococcus"
"14"	"228107"	19	"Pseudomonadota"	"Pelagibacterales"	"Alphaproteobacteria"	"Candidatus Pelagibacteraceae"	"Candidatus Pelagibacter"	"Candidatus Pelagibacter ubique"
"15"	"240543"	201	"Pseudomonadota"	"Pelagibacterales"	"Alphaproteobacteria"	"Candidatus Pelagibacteraceae"	"Candidatus Pelagibacter"	"Candidatus Pelagibacter sp. FZCC0015"
"16"	"256544"	239	"Bacteroidota"	"Flavobacteriales"	"Flavobacteriia"	"Cryomorphaceae"	"Unknown_Cryomorphaceae"	"Cryomorphaceae bacterium"
"17"	"272640"	1455	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Gammaproteobacteria"	"Unknown_Gammaproteobacteria"	"Unknown_Gammaproteobacteria"	"uncultured marine gamma proteobacterium EBAC31A08"
"18"	"273219"	1147	"Pseudomonadota"	"Rhodobacterales"	"Alphaproteobacteria"	"Roseobacteraceae"	"Pelagimonas"	"uncultured Pelagimonas sp."
"19"	"282800"	220	"Cyanobacteriota"	"Synechococcales"	"Cyanophyceae"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. MIT S9508"
"20"	"311023"	526	"Bacteroidota"	"Flavobacteriales"	"Flavobacteriia"	"Flavobacteriaceae"	"Flavobacterium"	"Flavobacterium sp. SCGC AAA160-P02"
"21"	"316574"	16	"Pseudomonadota"	"Rhodobacterales"	"Alphaproteobacteria"	"Paracoccaceae"	"Unknown_Paracoccaceae"	"Rhodobacteraceae bacterium MED-G07"
"22"	"339267"	41	"Pseudomonadota"	"Pelagibacterales"	"Alphaproteobacteria"	"Candidatus Pelagibacteraceae"	"Candidatus Pelagibacter"	"Candidatus Pelagibacter sp. HTCC7211"
"23"	"382343"	175	"Pseudomonadota"	"Candidatus Puniceispirillales"	"Alphaproteobacteria"	"Candidatus Puniceispirillaceae"	"Candidatus Puniceispirillum"	"Unknown_Candidatus_Puniceispirillum"
"24"	"448037"	180	"Bacteroidota"	"Flavobacteriales"	"Flavobacteriia"	"Flavobacteriaceae"	"Polaribacter"	"Polaribacter sp."
"25"	"462897"	947	"Cyanobacteriota"	"Synechococcales"	"Cyanophyceae"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. UW179A"
"26"	"11121"	180	"Bacteroidota"	"Flavobacteriales"	"Flavobacteriia"	"Flavobacteriaceae"	"Polaribacter"	"Polaribacter sp."
"27"	"28645"	2088	"Bacteroidota"	"Flavobacteriales"	"Flavobacteriia"	"Flavobacteriaceae"	"Aestuariivivens"	"Aestuariivivens sediminis"
"28"	"45155"	150	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Alphaproteobacteria bacterium TMED199"
