gene_callers_id	blastp_acc	blastp_ann	blastp_species	blastp_taxa
14417922	WP_011133065.1	"MULTISPECIES: chaperonin GroEL [Prochlorococcus]"	"Prochlorococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae"
13139971	WP_013696004.1	"glycine betaine/L-proline ABC transporter substrate-binding protein ProX [Candidatus Pelagibacter sp. IMCC9063]"	"Candidatus Pelagibacter sp. IMCC9063"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
7602190	WP_345427880.1	"TonB-dependent receptor plug domain-containing protein [Halioxenophilus aromaticivorans]"	"Halioxenophilus aromaticivorans"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Halioxenophilus"
14483474	WP_075536171.1	"MULTISPECIES: TRAP transporter substrate-binding protein [Candidatus Pelagibacter]"	"Candidatus Pelagibacter"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae"
1933336	WP_173195434.1	"F0F1 ATP synthase subunit beta [Geobacter sp. SVR]"	"Geobacter sp. SVR"	"Bacteria","Pseudomonadati","Thermodesulfobacteriota","Desulfuromonadia","Geobacterales","Geobacteraceae","Geobacter"
6946841	WP_062761614.1	"porin [Tistrella mobilis]"	"Tistrella mobilis"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Geminicoccales","Geminicoccaceae","Tistrella"
5996585	WP_310471696.1	"TonB-dependent receptor domain-containing protein [Shewanella youngdeokensis]"	"Shewanella youngdeokensis"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella"
2129962	WP_283240303.1	"chaperonin GroEL [Candidatus Pelagibacter sp. FZCC0015]"	"Candidatus Pelagibacter sp. FZCC0015"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
1572907	WP_408642052.1	"TonB-dependent receptor [Sphingomonas radiodurans]"	"Sphingomonas radiodurans"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
14155827	WP_032512928.1	"MULTISPECIES: porin [Prochlorococcus]"	"Prochlorococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae"
16515129	WP_171743149.1	"flagellin [Sphingomonas sp. AP4-R1]"	"Sphingomonas sp. AP4-R1"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
12845114	WP_011820763.1	"dihydrolipoyl dehydrogenase [Prochlorococcus marinus]"	"Prochlorococcus marinus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
8618046	WP_011391302.1	"molecular chaperone DnaK [Rhodospirillum rubrum]"	"Rhodospirillum rubrum"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillum"
8421445	WP_145597908.1	"50S ribosomal protein L5 [Candidatus Pelagibacter sp. FZCC0015]"	"Candidatus Pelagibacter sp. FZCC0015"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
16515144	WP_282301884.1	"amino acid ABC transporter substrate-binding protein [Tropicibacter oceani]"	"Tropicibacter oceani"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Tropicibacter"
1704009	WP_049587684.1	"TonB-dependent receptor domain-containing protein [Alteromonas macleodii]"	"Alteromonas macleodii"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas/Salinimonas group","Alteromonas"
9437257	WP_025607627.1	"RagB/SusD family nutrient uptake outer membrane protein [Pontibacter actiniarum]"	"Pontibacter actiniarum"	"Bacteria","Pseudomonadati","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae","Pontibacter"
11436115	WP_032519364.1	"CsoS2 family carboxysome shell protein [Prochlorococcus marinus]"	"Prochlorococcus marinus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
11436115	WP_032519364.1	"CsoS2 family carboxysome shell protein [Prochlorococcus marinus]"	"Prochlorococcus marinus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
11436115	WP_032519364.1	"CsoS2 family carboxysome shell protein [Prochlorococcus marinus]"	"Prochlorococcus marinus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
11436115	WP_032519364.1	"CsoS2 family carboxysome shell protein [Prochlorococcus marinus]"	"Prochlorococcus marinus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
7864423	WP_415284676.1	"porin [Candidatus Pelagibacter sp. Uisw_130]"	"Candidatus Pelagibacter sp. Uisw_130"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
1769575	WP_264345740.1	"TonB-dependent receptor [Rheinheimera sp. MM224]"	"Rheinheimera sp. MM224"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Chromatiales","Chromatiaceae","Rheinheimera"
7635048	WP_107345079.1	"MULTISPECIES: elongation factor Tu [Rhodopseudomonas]"	"Rhodopseudomonas"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae"
6094967	WP_415290290.1	"chaperonin GroEL [Candidatus Pelagibacter sp. Uisw_136]"	"Candidatus Pelagibacter sp. Uisw_136"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
8061048	WP_151179599.1	"F0F1 ATP synthase subunit beta [Hypericibacter terrae]"	"Hypericibacter terrae"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Dongiaceae","Hypericibacter"
3211399	WP_306253815.1	"TonB-dependent receptor [Parvularcula sp. IMCC14364]"	"Parvularcula sp. IMCC14364"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Parvularculales","Parvularculaceae","Parvularcula"
786568	WP_068363258.1	"SusC/RagA family TonB-linked outer membrane protein [Polaribacter reichenbachii]"	"Polaribacter reichenbachii"	"Bacteria","Pseudomonadati","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae"
3997834	WP_011375887.1	"MULTISPECIES: cell division topological specificity factor MinE [Prochlorococcus]"	"Prochlorococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae"
4718739	WP_420613921.1	"transcription termination factor Rho [Candidatus Spongiisocius sp.]"	"Candidatus Spongiisocius sp."	"Bacteria","Bacillati","Actinomycetota","Acidimicrobiia","Candidatus Spongiisociales","Candidatus Spongiisociaceae","Candidatus Spongiisocius"
10322069	WP_069946148.1	"MotA/TolQ/ExbB proton channel family protein [Microbulbifer aggregans]"	"Microbulbifer aggregans"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Microbulbiferaceae","Microbulbifer"
5931163	WP_240138738.1	"ABC transporter substrate-binding protein [Streptomyces sp. MUM 178J]"	"Streptomyces sp. MUM 178J"	"Bacteria","Bacillati","Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces"
5472414	WP_011132966.1	"MULTISPECIES: leucyl aminopeptidase [Prochlorococcus]"	"Prochlorococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae"
13336742	WP_004145336.1	"MULTISPECIES: 50S ribosomal protein L3 [Stenotrophomonas]"	"Stenotrophomonas"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae"
13336743	WP_004145337.1	"MULTISPECIES: 50S ribosomal protein L4 [Bacteria]"	"Bacteria"	"Unclassified"
13336744	WP_004145338.1	"MULTISPECIES: 50S ribosomal protein L23 [Gammaproteobacteria]"	"Gammaproteobacteria"	"Bacteria","Pseudomonadati","Pseudomonadota"
13336753	WP_004154490.1	"MULTISPECIES: 50S ribosomal protein L24 [Lysobacteraceae]"	"Lysobacteraceae"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Lysobacterales"
13336754	WP_004154491.1	"MULTISPECIES: 50S ribosomal protein L5 [Stenotrophomonas]"	"Stenotrophomonas"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae"
13336757	WP_367381485.1	"50S ribosomal protein L6 [Stenotrophomonas cyclobalanopsidis]"	"Stenotrophomonas cyclobalanopsidis"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Stenotrophomonas"
11632823	WP_032513302.1	"MULTISPECIES: co-chaperone GroES [Prochlorococcus]"	"Prochlorococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae"
7504057	WP_099558577.1	"molecular chaperone DnaK [Hartmannibacter diazotrophicus]"	"Hartmannibacter diazotrophicus"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Pleomorphomonadaceae","Hartmannibacter"
6553786	WP_145597123.1	"NADP-dependent isocitrate dehydrogenase [Candidatus Pelagibacter sp. FZCC0015]"	"Candidatus Pelagibacter sp. FZCC0015"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
4817081	WP_043844653.1	"cobaltochelatase subunit CobS [Roseivivax marinus]"	"Roseivivax marinus"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Roseivivax"
13336766	WP_004145453.1	"MULTISPECIES: DNA-directed RNA polymerase subunit alpha [Stenotrophomonas]"	"Stenotrophomonas"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae"
11501759	WP_408642052.1	"TonB-dependent receptor [Sphingomonas radiodurans]"	"Sphingomonas radiodurans"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
13336767	WP_005408217.1	"MULTISPECIES: 50S ribosomal protein L17 [Stenotrophomonas]"	"Stenotrophomonas"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae"
8159425	WP_117394939.1	"TRAP transporter substrate-binding protein [Maritalea myrionectae]"	"Maritalea myrionectae"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Maritalea"
7635143	WP_415355154.1	"DUF3604 domain-containing protein [Halioglobus sp. Uisw_031]"	"Halioglobus sp. Uisw_031"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Halieaceae","Halioglobus"
9765076	WP_013044994.1	"trigger factor [Candidatus Puniceispirillum marinum]"	"Candidatus Puniceispirillum marinum"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Puniceispirillales","Candidatus Puniceispirillaceae","Candidatus Puniceispirillum"
11534551	WP_341502085.1	"TonB-dependent receptor plug domain-containing protein [Gallaecimonas sp. GXIMD4217]"	"Gallaecimonas sp. GXIMD4217"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Gallaecimonadaceae","Gallaecimonas"
6848727	WP_032519745.1	"15-cis-phytoene desaturase [Prochlorococcus marinus]"	"Prochlorococcus marinus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
4456664	WP_206992011.1	"TonB-dependent receptor [Hyphomonas sp. KY3]"	"Hyphomonas sp. KY3"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomonadales","Hyphomonadaceae","Hyphomonas"
4653274	WP_015045661.1	"adenylate kinase [Simiduia agarivorans]"	"Simiduia agarivorans"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Simiduia"
10682587	WP_258568100.1	"elongation factor Tu [Candidatus Comchoanobacter bicostacola]"	"Candidatus Comchoanobacter bicostacola"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Candidatus Comchoanobacterales","Candidatus Comchoanobacteraceae","Candidatus Comchoanobacter"
10223833	WP_238531138.1	"NADP-dependent malic enzyme [Candidatus Puniceispirillum marinum]"	"Candidatus Puniceispirillum marinum"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Puniceispirillales","Candidatus Puniceispirillaceae","Candidatus Puniceispirillum"
7504090	WP_075504906.1	"type I glutamate--ammonia ligase [Candidatus Pelagibacter sp. FZCC0015]"	"Candidatus Pelagibacter sp. FZCC0015"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
10584286	WP_036930346.1	"MULTISPECIES: glutathione peroxidase [Prochlorococcus]"	"Prochlorococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae"
13828321	WP_415300552.1	"ABC transporter ATP-binding protein [Candidatus Pelagibacter sp. Uisw_134_02]"	"Candidatus Pelagibacter sp. Uisw_134_02"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
10060005	WP_011862494.1	"MULTISPECIES: glutamate--tRNA ligase [Prochlorococcus]"	"Prochlorococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae"
