gene_callers_id	source	accession	function	e_value
7602190		MER0196999	MEROPS	family_I39_unassigned_peptidase_inhibitors_(Spirosoma_linguale)_[I39.UPW]#I39#{inhibitor_unit:_82-260}~source_ADB38947~
5996585		MER0234543	MEROPS	family_I39_unassigned_peptidase_inhibitors_(Pseudoxanthomonas_suwonensis)_[I39.UPW]#I39#{inhibitor_unit:_35-175}~source_YP_004145827~
1572907		MER0196960	MEROPS	family_I39_unassigned_peptidase_inhibitors_(Spirosoma_linguale)_[I39.UPW]#I39#{inhibitor_unit:_79-266}~source_ADB40454~
1704009		MER0234543	MEROPS	family_I39_unassigned_peptidase_inhibitors_(Pseudoxanthomonas_suwonensis)_[I39.UPW]#I39#{inhibitor_unit:_35-175}~source_YP_004145827~
1769575		MER0203173	MEROPS	family_I39_unassigned_peptidase_inhibitors_(Shewanella_violacea)_[I39.UPW]#I39#{inhibitor_unit:_40-192}~source_BAJ02656~
3211399		MER0182283	MEROPS	family_I39_unassigned_peptidase_inhibitors_(Desulfovibrio_magneticus)_[I39.UPW]#I39#{inhibitor_unit:_32-163}~source_BAH76254~
786568		MER0133330	MEROPS	family_I39_unassigned_peptidase_inhibitors_(Dyadobacter_fermentans)_[I39.UPW]#I39#{inhibitor_unit:_64-259}~source_GEBA2500514064~
5472414		MER0929970	MEROPS	family_M17_unassigned_peptidases_(Prochlorococcus_marinus)_[M17.UPW]#M17#{peptidase_unit:_54-489}~source_A0A0A2B987~
11501759		MER0196960	MEROPS	family_I39_unassigned_peptidase_inhibitors_(Spirosoma_linguale)_[I39.UPW]#I39#{inhibitor_unit:_79-266}~source_ADB40454~
9765076		MER1319859	MEROPS	family_S14_unassigned_peptidases_()_[S14.UPW]#S14#{peptidase_unit:_17-208}~source_OUW58318~
11534551		MER0234543	MEROPS	family_I39_unassigned_peptidase_inhibitors_(Pseudoxanthomonas_suwonensis)_[I39.UPW]#I39#{inhibitor_unit:_35-175}~source_YP_004145827~
4456664		MER0196960	MEROPS	family_I39_unassigned_peptidase_inhibitors_(Spirosoma_linguale)_[I39.UPW]#I39#{inhibitor_unit:_79-266}~source_ADB40454~
16417026		MER0469230	MEROPS	subfamily_M14B_non-peptidase_homologues_(Fibrella_aestuarina)_[M14.UNB]#M14B#{peptidase_unit:_27-127}~source_CCH02529~
2425114		MER0808567	MEROPS	family_I87_unassigned_peptidase_inhibitors_(Azorhizobium_caulinodans)_[I87.UPW]#I87#{inhibitor_unit:_69-343}~source_A8IAW0~
14549285		MER0234543	MEROPS	family_I39_unassigned_peptidase_inhibitors_(Pseudoxanthomonas_suwonensis)_[I39.UPW]#I39#{inhibitor_unit:_35-175}~source_YP_004145827~
5177671		MER0196386	MEROPS	family_I39_unassigned_peptidase_inhibitors_(Pirellula_staleyi)_[I39.UPW]#I39#{inhibitor_unit:_109-226}~source_ADB16724~
15008102		MER0196960	MEROPS	family_I39_unassigned_peptidase_inhibitors_(Spirosoma_linguale)_[I39.UPW]#I39#{inhibitor_unit:_79-266}~source_ADB40454~
