gene_callers_id	source	accession	function
13336742	ProSitePatterns	PS00474	Ribosomal protein L3 signature.
7635048	ProSitePatterns	PS00301	Translational (tr)-type guanine nucleotide-binding (G) domain signature.
8913241	ProSitePatterns	PS00837	Alanine dehydrogenase & pyridine nucleotide transhydrogenase signature 2.
6094967	ProSitePatterns	PS00296	Chaperonins cpn60 signature.
5472414	ProSitePatterns	PS00631	Cytosol aminopeptidase signature.
14417922	ProSitePatterns	PS00296	Chaperonins cpn60 signature.
8061048	ProSitePatterns	PS00152	ATP synthase alpha and beta subunits signature.
4587832	ProSitePatterns	PS00950	Bacterial rhodopsins signature 1.
9765076	ProSitePatterns	PS00381	Endopeptidase Clp serine active site.
4522426	ProSitePatterns	PS00496	P-II protein uridylation site.
4522426	ProSitePatterns	PS00638	P-II protein C-terminal region signature.
1933336	ProSitePatterns	PS00152	ATP synthase alpha and beta subunits signature.
10223833	ProSitePatterns	PS00331	Malic enzymes signature.
6553786	ProSitePatterns	PS00470	Isocitrate and isopropylmalate dehydrogenases signature.
4653274	ProSitePatterns	PS00113	Adenylate kinase signature.
13336754	ProSitePatterns	PS00358	Ribosomal protein L5 signature.
1638843	ProSitePatterns	PS00042	Crp-type HTH domain signature.
13336767	ProSitePatterns	PS01167	Ribosomal protein L17 signature.
4850124	ProSitePatterns	PS00171	Triosephosphate isomerase active site.
2129962	ProSitePatterns	PS00296	Chaperonins cpn60 signature.
13336744	ProSitePatterns	PS00050	Ribosomal protein L23 signature.
13336757	ProSitePatterns	PS00525	Ribosomal protein L6 signature 1.
11632823	ProSitePatterns	PS00681	Chaperonins cpn10 signature.
10944864	ProSitePatterns	PS01071	grpE protein signature.
7504090	ProSitePatterns	PS00180	Glutamine synthetase signature 1.
7504090	ProSitePatterns	PS00181	Glutamine synthetase putative ATP-binding region signature.
8618046	ProSitePatterns	PS01036	Heat shock hsp70 proteins family signature 3.
13042039	ProSitePatterns	PS01128	Shikimate kinase signature.
13828321	ProSitePatterns	PS00211	ABC transporters family signature.
10060005	ProSitePatterns	PS00178	Aminoacyl-transfer RNA synthetases class-I signature.
9175358	ProSitePatterns	PS00152	ATP synthase alpha and beta subunits signature.
3703205	ProSitePatterns	PS01166	RNA polymerases beta chain signature.
8421445	ProSitePatterns	PS00049	Ribosomal protein L14 signature.
7078171	ProSitePatterns	PS00165	Serine/threonine dehydratases pyridoxal-phosphate attachment site.
10289546	ProSitePatterns	PS00571	Amidases signature.
16515144	ProSitePatterns	PS01039	Bacterial extracellular solute-binding proteins, family 3 signature.
