gene_callers_id	source	accession	function
13336742	SUPERFAMILY	SSF50447	Translation proteins
7995810	SUPERFAMILY	SSF56935	Porins
14385553	SUPERFAMILY	SSF53850	Periplasmic binding protein-like II
9437257	SUPERFAMILY	SSF48452	TPR-like
7635048	SUPERFAMILY	SSF50447	Translation proteins
7635048	SUPERFAMILY	SSF50465	EF-Tu/eEF-1alpha/eIF2-gamma C-terminal domain
7635048	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases
9896189	SUPERFAMILY	SSF56935	Porins
4817081	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases
5931163	SUPERFAMILY	SSF53850	Periplasmic binding protein-like II
11010506	SUPERFAMILY	SSF111352	Ammonium transporter
8913241	SUPERFAMILY	SSF51735	NAD(P)-binding Rossmann-fold domains
8913241	SUPERFAMILY	SSF52283	Formate/glycerate dehydrogenase catalytic domain-like
8880598	SUPERFAMILY	SSF53850	Periplasmic binding protein-like II
6094967	SUPERFAMILY	SSF52029	GroEL apical domain-like
6094967	SUPERFAMILY	SSF48592	GroEL equatorial domain-like
6094967	SUPERFAMILY	SSF54849	GroEL-intermediate domain like
7635143	SUPERFAMILY	SSF89550	PHP domain-like
11698408	SUPERFAMILY	SSF53822	Periplasmic binding protein-like I
1507701	SUPERFAMILY	SSF50249	Nucleic acid-binding proteins
1507701	SUPERFAMILY	SSF50249	Nucleic acid-binding proteins
1507701	SUPERFAMILY	SSF50249	Nucleic acid-binding proteins
1507701	SUPERFAMILY	SSF50249	Nucleic acid-binding proteins
1507701	SUPERFAMILY	SSF50249	Nucleic acid-binding proteins
1507701	SUPERFAMILY	SSF50249	Nucleic acid-binding proteins
5472414	SUPERFAMILY	SSF52949	Macro domain-like
5472414	SUPERFAMILY	SSF53187	Zn-dependent exopeptidases
3997834	SUPERFAMILY	SSF55229	Cell division protein MinE topological specificity domain
14417922	SUPERFAMILY	SSF48592	GroEL equatorial domain-like
14417922	SUPERFAMILY	SSF52029	GroEL apical domain-like
13042042	SUPERFAMILY	SSF47616	GST C-terminal domain-like
8061048	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases
8061048	SUPERFAMILY	SSF47917	C-terminal domain of alpha and beta subunits of F1 ATP synthase
5177671	SUPERFAMILY	SSF49464	Carboxypeptidase regulatory domain-like
5177671	SUPERFAMILY	SSF56935	Porins
15597958	SUPERFAMILY	SSF56935	Porins
11501979	SUPERFAMILY	SSF117892	Band 7/SPFH domain
11075874	SUPERFAMILY	SSF64518	Phase 1 flagellin
4587832	SUPERFAMILY	SSF81321	Family A G protein-coupled receptor-like
9765076	SUPERFAMILY	SSF109998	Triger factor/SurA peptide-binding domain-like
9765076	SUPERFAMILY	SSF54534	FKBP-like
9765076	SUPERFAMILY	SSF102735	Trigger factor ribosome-binding domain
9765076	SUPERFAMILY	SSF52096	ClpP/crotonase
4522426	SUPERFAMILY	SSF54913	GlnB-like
7864423	SUPERFAMILY	SSF56935	Porins
1933336	SUPERFAMILY	SSF47917	C-terminal domain of alpha and beta subunits of F1 ATP synthase
1933336	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases
13139971	SUPERFAMILY	SSF53850	Periplasmic binding protein-like II
10223833	SUPERFAMILY	SSF51735	NAD(P)-binding Rossmann-fold domains
10223833	SUPERFAMILY	SSF53223	Aminoacid dehydrogenase-like, N-terminal domain
10223833	SUPERFAMILY	SSF53659	Isocitrate/Isopropylmalate dehydrogenase-like
6848727	SUPERFAMILY	SSF51905	FAD/NAD(P)-binding domain
1704009	SUPERFAMILY	SSF56935	Porins
3801508	SUPERFAMILY	SSF53850	Periplasmic binding protein-like II
786568	SUPERFAMILY	SSF56935	Porins
786568	SUPERFAMILY	SSF49464	Carboxypeptidase regulatory domain-like
6553786	SUPERFAMILY	SSF53659	Isocitrate/Isopropylmalate dehydrogenase-like
4653274	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases
3309957	SUPERFAMILY	SSF53850	Periplasmic binding protein-like II
13336754	SUPERFAMILY	SSF55282	RL5-like
1638843	SUPERFAMILY	SSF46785	"Winged helix" DNA-binding domain
14549363	SUPERFAMILY	SSF117892	Band 7/SPFH domain
13336767	SUPERFAMILY	SSF64263	Prokaryotic ribosomal protein L17
721281	SUPERFAMILY	SSF53850	Periplasmic binding protein-like II
4850124	SUPERFAMILY	SSF51351	Triosephosphate isomerase (TIM)
2129962	SUPERFAMILY	SSF48592	GroEL equatorial domain-like
2129962	SUPERFAMILY	SSF54849	GroEL-intermediate domain like
2129962	SUPERFAMILY	SSF52029	GroEL apical domain-like
1933634	SUPERFAMILY	SSF54211	Ribosomal protein S5 domain 2-like
1933634	SUPERFAMILY	SSF54211	Ribosomal protein S5 domain 2-like
1933634	SUPERFAMILY	SSF50249	Nucleic acid-binding proteins
1933634	SUPERFAMILY	SSF55666	Ribonuclease PH domain 2-like
1933634	SUPERFAMILY	SSF54791	Eukaryotic type KH-domain (KH-domain type I)
1933634	SUPERFAMILY	SSF55666	Ribonuclease PH domain 2-like
1933634	SUPERFAMILY	SSF46915	Polynucleotide phosphorylase/guanosine pentaphosphate synthase (PNPase/GPSI), domain 3
4620650	SUPERFAMILY	SSF50346	PRC-barrel domain
4620650	SUPERFAMILY	SSF81490	Photosystem II reaction centre subunit H, transmembrane region
3211399	SUPERFAMILY	SSF56935	Porins
11534551	SUPERFAMILY	SSF56935	Porins
16515129	SUPERFAMILY	SSF64518	Phase 1 flagellin
13336744	SUPERFAMILY	SSF54189	Ribosomal proteins S24e, L23 and L15e
5996585	SUPERFAMILY	SSF56935	Porins
10584286	SUPERFAMILY	SSF52833	Thioredoxin-like
4718739	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases
4718739	SUPERFAMILY	SSF50249	Nucleic acid-binding proteins
13336757	SUPERFAMILY	SSF56053	Ribosomal protein L6
13336757	SUPERFAMILY	SSF56053	Ribosomal protein L6
11632823	SUPERFAMILY	SSF50129	GroES-like
10682587	SUPERFAMILY	SSF50447	Translation proteins
10682587	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases
10682587	SUPERFAMILY	SSF50465	EF-Tu/eEF-1alpha/eIF2-gamma C-terminal domain
16417026	SUPERFAMILY	SSF56935	Porins
16417026	SUPERFAMILY	SSF49464	Carboxypeptidase regulatory domain-like
10944864	SUPERFAMILY	SSF51064	Head domain of nucleotide exchange factor GrpE
10944864	SUPERFAMILY	SSF58014	Coiled-coil domain of nucleotide exchange factor GrpE
7504090	SUPERFAMILY	SSF55931	Glutamine synthetase/guanido kinase
7504090	SUPERFAMILY	SSF54368	Glutamine synthetase, N-terminal domain
13336753	SUPERFAMILY	SSF50104	Translation proteins SH3-like domain
8618046	SUPERFAMILY	SSF100920	Heat shock protein 70kD (HSP70), peptide-binding domain
8618046	SUPERFAMILY	SSF53067	Actin-like ATPase domain
8618046	SUPERFAMILY	SSF100934	Heat shock protein 70kD (HSP70), C-terminal subdomain
13042039	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases
13828321	SUPERFAMILY	SSF50331	MOP-like
13828321	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases
13336766	SUPERFAMILY	SSF55257	RBP11-like subunits of RNA polymerase
13336766	SUPERFAMILY	SSF56553	Insert subdomain of RNA polymerase alpha subunit
13336766	SUPERFAMILY	SSF47789	C-terminal domain of RNA polymerase alpha subunit
13336743	SUPERFAMILY	SSF52166	Ribosomal protein L4
10060005	SUPERFAMILY	SSF48163	An anticodon-binding domain of class I aminoacyl-tRNA synthetases
10060005	SUPERFAMILY	SSF52374	Nucleotidylyl transferase
9175358	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases
9175358	SUPERFAMILY	SSF47917	C-terminal domain of alpha and beta subunits of F1 ATP synthase
4522311	SUPERFAMILY	SSF53807	"Helical backbone" metal receptor
3703205	SUPERFAMILY	SSF64484	beta and beta-prime subunits of DNA dependent RNA-polymerase
4456664	SUPERFAMILY	SSF56935	Porins
11338077	SUPERFAMILY	SSF53850	Periplasmic binding protein-like II
1769575	SUPERFAMILY	SSF56935	Porins
8421445	SUPERFAMILY	SSF55282	RL5-like
8421445	SUPERFAMILY	SSF50193	Ribosomal protein L14
7078171	SUPERFAMILY	SSF53686	Tryptophan synthase beta subunit-like PLP-dependent enzymes
1278222	SUPERFAMILY	SSF47729	IHF-like DNA-binding proteins
10289546	SUPERFAMILY	SSF75304	Amidase signature (AS) enzymes
2425114	SUPERFAMILY	SSF117892	Band 7/SPFH domain
1572907	SUPERFAMILY	SSF56935	Porins
16515144	SUPERFAMILY	SSF53850	Periplasmic binding protein-like II
7602190	SUPERFAMILY	SSF56935	Porins
10715479	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases
10715479	SUPERFAMILY	SSF50615	N-terminal domain of alpha and beta subunits of F1 ATP synthase
15008102	SUPERFAMILY	SSF56935	Porins
15008102	SUPERFAMILY	SSF49464	Carboxypeptidase regulatory domain-like
7504057	SUPERFAMILY	SSF100920	Heat shock protein 70kD (HSP70), peptide-binding domain
7504057	SUPERFAMILY	SSF100934	Heat shock protein 70kD (HSP70), C-terminal subdomain
7504057	SUPERFAMILY	SSF53067	Actin-like ATPase domain
7504057	SUPERFAMILY	SSF53067	Actin-like ATPase domain
11796857	SUPERFAMILY	SSF51569	Aldolase
12845114	SUPERFAMILY	SSF51905	FAD/NAD(P)-binding domain
12845114	SUPERFAMILY	SSF55424	FAD/NAD-linked reductases, dimerisation (C-terminal) domain
14549285	SUPERFAMILY	SSF56935	Porins
2130172	SUPERFAMILY	SSF55307	Tubulin C-terminal domain-like
2130172	SUPERFAMILY	SSF52490	Tubulin nucleotide-binding domain-like
11501759	SUPERFAMILY	SSF56935	Porins
15237584	SUPERFAMILY	SSF54791	Eukaryotic type KH-domain (KH-domain type I)
15237584	SUPERFAMILY	SSF50249	Nucleic acid-binding proteins
6946841	SUPERFAMILY	SSF56935	Porins
3019195	SUPERFAMILY	SSF54849	GroEL-intermediate domain like
3019195	SUPERFAMILY	SSF52029	GroEL apical domain-like
3019195	SUPERFAMILY	SSF48592	GroEL equatorial domain-like
12358408	SUPERFAMILY	SSF64518	Phase 1 flagellin
2888175	SUPERFAMILY	SSF52029	GroEL apical domain-like
2888175	SUPERFAMILY	SSF48592	GroEL equatorial domain-like
16093847	SUPERFAMILY	SSF50615	N-terminal domain of alpha and beta subunits of F1 ATP synthase
16093847	SUPERFAMILY	SSF47917	C-terminal domain of alpha and beta subunits of F1 ATP synthase
16093847	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases
11211427	SUPERFAMILY	SSF50615	N-terminal domain of alpha and beta subunits of F1 ATP synthase
11211427	SUPERFAMILY	SSF47917	C-terminal domain of alpha and beta subunits of F1 ATP synthase
11211427	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases
6329028	SUPERFAMILY	SSF54631	CBS-domain pair
6329028	SUPERFAMILY	SSF158791	MgtE N-terminal domain-like
6329028	SUPERFAMILY	SSF161093	MgtE membrane domain-like
7738191	SUPERFAMILY	SSF64484	beta and beta-prime subunits of DNA dependent RNA-polymerase
14291645	SUPERFAMILY	SSF56935	Porins
2036152	SUPERFAMILY	SSF53850	Periplasmic binding protein-like II
7246508	SUPERFAMILY	SSF56935	Porins
15634983	SUPERFAMILY	SSF53067	Actin-like ATPase domain
15929788	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases
15929788	SUPERFAMILY	SSF57716	Glucocorticoid receptor-like (DNA-binding domain)
11539171	SUPERFAMILY	SSF56935	Porins
11539171	SUPERFAMILY	SSF49464	Carboxypeptidase regulatory domain-like
6394312	SUPERFAMILY	SSF55681	Class II aaRS and biotin synthetases
9015816	SUPERFAMILY	SSF103088	OmpA-like
12292577	SUPERFAMILY	SSF49464	Carboxypeptidase regulatory domain-like
12292577	SUPERFAMILY	SSF56935	Porins
1446452	SUPERFAMILY	SSF56935	Porins
2560614	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases
2560614	SUPERFAMILY	SSF48295	TrpR-like
10326614	SUPERFAMILY	SSF117892	Band 7/SPFH domain
3641993	SUPERFAMILY	SSF53850	Periplasmic binding protein-like II
1905406	SUPERFAMILY	SSF53822	Periplasmic binding protein-like I
11539170	SUPERFAMILY	SSF48452	TPR-like
12751411	SUPERFAMILY	SSF52029	GroEL apical domain-like
12751411	SUPERFAMILY	SSF54849	GroEL-intermediate domain like
12751411	SUPERFAMILY	SSF48592	GroEL equatorial domain-like
12030544	SUPERFAMILY	SSF56935	Porins
9966391	SUPERFAMILY	SSF56935	Porins
3150327	SUPERFAMILY	SSF50952	Soluble quinoprotein glucose dehydrogenase
4330162	SUPERFAMILY	SSF54913	GlnB-like
4395593	SUPERFAMILY	SSF48300	Ribosomal protein L7/12, oligomerisation (N-terminal) domain
4395593	SUPERFAMILY	SSF54736	ClpS-like
11112989	SUPERFAMILY	SSF47973	Ribosomal protein S7
15929785	SUPERFAMILY	SSF109998	Triger factor/SurA peptide-binding domain-like
15929785	SUPERFAMILY	SSF54534	FKBP-like
8458697	SUPERFAMILY	SSF53850	Periplasmic binding protein-like II
12325553	SUPERFAMILY	SSF56801	Acetyl-CoA synthetase-like
14881315	SUPERFAMILY	SSF51735	NAD(P)-binding Rossmann-fold domains
14881315	SUPERFAMILY	SSF55347	Glyceraldehyde-3-phosphate dehydrogenase-like, C-terminal domain
14225974	SUPERFAMILY	SSF56935	Porins
16487012	SUPERFAMILY	SSF52833	Thioredoxin-like
2855615	SUPERFAMILY	SSF56935	Porins
2855615	SUPERFAMILY	SSF49464	Carboxypeptidase regulatory domain-like
8851963	SUPERFAMILY	SSF55979	DNA clamp
8851963	SUPERFAMILY	SSF55979	DNA clamp
8851963	SUPERFAMILY	SSF55979	DNA clamp
397755	SUPERFAMILY	SSF53850	Periplasmic binding protein-like II
11342402	SUPERFAMILY	SSF103647	TSP type-3 repeat
13963953	SUPERFAMILY	SSF56935	Porins
15700499	SUPERFAMILY	SSF56935	Porins
8196657	SUPERFAMILY	SSF49764	HSP20-like chaperones
3445383	SUPERFAMILY	SSF50465	EF-Tu/eEF-1alpha/eIF2-gamma C-terminal domain
3445383	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases
3445383	SUPERFAMILY	SSF50447	Translation proteins
2527827	SUPERFAMILY	SSF46785	"Winged helix" DNA-binding domain
11637507	SUPERFAMILY	SSF56935	Porins
12882568	SUPERFAMILY	SSF81923	Double Clp-N motif
12882568	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases
