gene_callers_id	source	accession	function
13336742	PANTHER	PTHR11229	50S RIBOSOMAL PROTEIN L3
14385553	PANTHER	PTHR30222	SPERMIDINE/PUTRESCINE-BINDING PERIPLASMIC PROTEIN
7635048	PANTHER	PTHR43721	ELONGATION FACTOR TU-RELATED
9896189	PANTHER	PTHR40980	PLUG DOMAIN-CONTAINING PROTEIN
4817081	PANTHER	PTHR42759	MOXR FAMILY PROTEIN
11010506	PANTHER	PTHR11730	AMMONIUM TRANSPORTER
8913241	PANTHER	PTHR10160	NAD(P) TRANSHYDROGENASE
8880598	PANTHER	PTHR43649	ARABINOSE-BINDING PROTEIN-RELATED
6094967	PANTHER	PTHR45633	60 KDA HEAT SHOCK PROTEIN, MITOCHONDRIAL
11698408	PANTHER	PTHR46847	D-ALLOSE-BINDING PERIPLASMIC PROTEIN-RELATED
1507701	PANTHER	PTHR10724	30S RIBOSOMAL PROTEIN S1
5472414	PANTHER	PTHR11963	LEUCINE AMINOPEPTIDASE-RELATED
14417922	PANTHER	PTHR45633	60 KDA HEAT SHOCK PROTEIN, MITOCHONDRIAL
8061048	PANTHER	PTHR15184	ATP SYNTHASE
5177671	PANTHER	PTHR32552	FERRICHROME IRON RECEPTOR-RELATED
15597958	PANTHER	PTHR32552	FERRICHROME IRON RECEPTOR-RELATED
11501979	PANTHER	PTHR42911	MODULATOR OF FTSH PROTEASE HFLC
11075874	PANTHER	PTHR42792	FLAGELLIN
8159425	PANTHER	PTHR33376	-
9765076	PANTHER	PTHR10381	ATP-DEPENDENT CLP PROTEASE PROTEOLYTIC SUBUNIT
4522426	PANTHER	PTHR30115	NITROGEN REGULATORY PROTEIN P-II
1933336	PANTHER	PTHR15184	ATP SYNTHASE
10223833	PANTHER	PTHR43237	NADP-DEPENDENT MALIC ENZYME
6848727	PANTHER	PTHR42923	PROTOPORPHYRINOGEN OXIDASE
1704009	PANTHER	PTHR47234	-
3801508	PANTHER	PTHR30024	ALIPHATIC SULFONATES-BINDING PROTEIN-RELATED
786568	PANTHER	PTHR47322	SUSC HOMOLOG-RELATED
6553786	PANTHER	PTHR11822	NADP-SPECIFIC ISOCITRATE DEHYDROGENASE
4653274	PANTHER	PTHR23359	NUCLEOTIDE KINASE
3309957	PANTHER	PTHR30570	PERIPLASMIC PHOSPHATE BINDING COMPONENT OF PHOSPHATE ABC TRANSPORTER
13336754	PANTHER	PTHR11994	60S RIBOSOMAL PROTEIN L11-RELATED
14549363	PANTHER	PTHR43327	STOMATIN-LIKE PROTEIN 2, MITOCHONDRIAL
13336767	PANTHER	PTHR14413	RIBOSOMAL PROTEIN L17
4850124	PANTHER	PTHR21139	TRIOSEPHOSPHATE ISOMERASE
2129962	PANTHER	PTHR45633	60 KDA HEAT SHOCK PROTEIN, MITOCHONDRIAL
1933634	PANTHER	PTHR11252	POLYRIBONUCLEOTIDE NUCLEOTIDYLTRANSFERASE
3211399	PANTHER	PTHR32552	FERRICHROME IRON RECEPTOR-RELATED
11534551	PANTHER	PTHR47234	-
16515129	PANTHER	PTHR42792	FLAGELLIN
13336744	PANTHER	PTHR11620	60S RIBOSOMAL PROTEIN L23A
5996585	PANTHER	PTHR47234	-
10322069	PANTHER	PTHR30625	PROTEIN TOLQ
10584286	PANTHER	PTHR11592	GLUTATHIONE PEROXIDASE
4718739	PANTHER	PTHR46425	TRANSCRIPTION TERMINATION FACTOR RHO
13336757	PANTHER	PTHR11655	60S/50S RIBOSOMAL PROTEIN L6/L9
