gene_callers_id	source	accession	function
13336742	InterPro	IPR000597	Large ribosomal subunit protein uL3
14385553	InterPro	IPR006059	Bacterial-type extracellular solute-binding protein
9437257	InterPro	IPR012944	RagB/SusD domain
7635048	InterPro	IPR000795	Translational (tr)-type GTP-binding domain
7635048	InterPro	IPR004161	Translation elongation factor EFTu-like, domain 2
7635048	InterPro	IPR004160	Translation elongation factor EFTu/EF1A, C-terminal
9896189	InterPro	IPR012910	TonB-dependent receptor, plug domain
4817081	InterPro	IPR025865	Cobaltochelatase subunit CobS N-terminal domain
4817081	InterPro	IPR011704	ATPase, dynein-related, AAA domain
5931163	InterPro	IPR007210	ABC-type glycine betaine transport system, substrate-binding domain
11010506	InterPro	IPR024041	Ammonium transporter AmtB-like domain
8913241	InterPro	IPR007698	Alanine dehydrogenase/pyridine nucleotide transhydrogenase, NAD(H)-binding domain
8913241	InterPro	IPR007886	Alanine dehydrogenase/pyridine nucleotide transhydrogenase, N-terminal
8880598	InterPro	IPR006059	Bacterial-type extracellular solute-binding protein
6094967	InterPro	IPR002423	Chaperonin Cpn60/GroEL/TCP-1 family
7635143	InterPro	IPR022028	Protein of unknown function DUF3604
11698408	InterPro	IPR025997	Periplasmic binding protein
1507701	InterPro	IPR003029	S1 domain
1507701	InterPro	IPR003029	S1 domain
1507701	InterPro	IPR003029	S1 domain
1507701	InterPro	IPR003029	S1 domain
1507701	InterPro	IPR003029	S1 domain
1507701	InterPro	IPR003029	S1 domain
5472414	InterPro	IPR008283	Peptidase M17, leucyl aminopeptidase, N-terminal
5472414	InterPro	IPR000819	Peptidase M17, leucyl aminopeptidase, C-terminal
3997834	InterPro	IPR005527	Cell division topological specificity factor MinE
14417922	InterPro	IPR002423	Chaperonin Cpn60/GroEL/TCP-1 family
13042042	InterPro	IPR004046	Glutathione S-transferase, C-terminal
8061048	InterPro	IPR000194	ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain
5177671	InterPro	IPR012910	TonB-dependent receptor, plug domain
5177671	InterPro	-	-
15597958	InterPro	IPR000531	TonB-dependent receptor-like, beta-barrel
15597958	InterPro	IPR012910	TonB-dependent receptor, plug domain
11501979	InterPro	IPR001107	Band 7 domain
11075874	InterPro	IPR046358	Flagellin, C-terminal domain
11075874	InterPro	IPR001029	Flagellin, N-terminal domain
4587832	InterPro	IPR001425	Archaeal/bacterial/fungal rhodopsins
8159425	InterPro	IPR018389	TRAP transporter solute receptor DctP
9765076	InterPro	IPR001179	FKBP-type peptidyl-prolyl cis-trans isomerase domain
9765076	InterPro	IPR008881	Trigger factor, ribosome-binding, bacterial
9765076	InterPro	IPR023562	Clp protease proteolytic subunit /Translocation-enhancing protein TepA
9765076	InterPro	IPR008880	Trigger factor, C-terminal
4522426	InterPro	IPR002187	Nitrogen regulatory protein PII
7864423	InterPro	IPR033900	Porin domain, Gram-negative type
1933336	InterPro	IPR000194	ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain
13139971	InterPro	IPR007210	ABC-type glycine betaine transport system, substrate-binding domain
10223833	InterPro	IPR012301	Malic enzyme, N-terminal domain
10223833	InterPro	IPR012302	Malic enzyme, NAD-binding
10223833	InterPro	IPR002505	Phosphate acetyl/butaryl transferase
