gene_callers_id	source	accession	function
14385553	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
5931163	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
11698408	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
5177671	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
15597958	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
4587832	SignalP_GRAM_NEGATIVE	SignalP-TM	SignalP-TM
8159425	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
12681456	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
7864423	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
13139971	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
1704009	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
786568	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
3309957	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
14155827	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
3211399	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
11534551	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
10322069	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
14483474	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
4456664	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
1769575	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
1572907	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
6946841	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
13341178	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
14291645	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
11539171	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
9015816	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
11539170	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
12030544	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
9966391	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
3150327	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
8458697	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
397755	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
11342402	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
13963953	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
15700499	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
11637507	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
37653	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
16093992	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
13243021	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
13800256	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
8851958	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
15798790	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
12063327	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
3412729	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
14324461	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM
