gene_callers_id	source	accession	function
9142333	Pfam	PF00593	TonB dependent receptor
13336742	Pfam	PF00297	Ribosomal protein L3
14483704	Pfam	PF16148	Domain of unknown function (DUF4856)
983247	Pfam	PF00575	S1 RNA binding domain
983247	Pfam	PF00575	S1 RNA binding domain
9437257	Pfam	PF07980	SusD family
7635048	Pfam	PF03144	Elongation factor Tu domain 2
7635048	Pfam	PF00009	Elongation factor Tu GTP binding domain
7635048	Pfam	PF03143	Elongation factor Tu C-terminal domain
9896189	Pfam	PF07715	TonB-dependent Receptor Plug Domain
4817081	Pfam	PF07728	AAA domain (dynein-related subfamily)
4817081	Pfam	PF12556	Cobaltochelatase CobS subunit N terminal
5931163	Pfam	PF04069	Substrate binding domain of ABC-type glycine betaine transport system
16056502	Pfam	PF01025	GrpE
13336765	Pfam	PF01479	S4 domain
13336765	Pfam	PF00163	Ribosomal protein S4/S9 N-terminal domain
14614734	Pfam	PF00551	Formyl transferase
6094967	Pfam	PF00118	TCP-1/cpn60 chaperonin family
7635143	Pfam	PF12228	Protein of unknown function (DUF3604)
11698408	Pfam	PF13407	Periplasmic binding protein domain
8519835	Pfam	PF13609	Gram-negative porin
13336748	Pfam	PF00189	Ribosomal protein S3, C-terminal domain
13336748	Pfam	PF07650	KH domain
15335452	Pfam	PF00593	TonB dependent receptor
15335452	Pfam	PF07715	TonB-dependent Receptor Plug Domain
393302	Pfam	PF00593	TonB dependent receptor
393302	Pfam	PF07715	TonB-dependent Receptor Plug Domain
5472414	Pfam	PF00883	Cytosol aminopeptidase family, catalytic domain
5472414	Pfam	PF02789	Cytosol aminopeptidase family, N-terminal domain
3997834	Pfam	PF03776	Septum formation topological specificity factor MinE
14417922	Pfam	PF00118	TCP-1/cpn60 chaperonin family
8061048	Pfam	PF00006	ATP synthase alpha/beta family, nucleotide-binding domain
8159425	Pfam	PF03480	Bacterial extracellular solute-binding protein, family 7
1016040	Pfam	PF00127	Copper binding proteins, plastocyanin/azurin family
10289206	Pfam	PF13609	Gram-negative porin
9765076	Pfam	PF00574	Clp protease
9765076	Pfam	PF05697	Bacterial trigger factor protein (TF)
9765076	Pfam	PF00254	FKBP-type peptidyl-prolyl cis-trans isomerase
9765076	Pfam	PF05698	Bacterial trigger factor protein (TF) C-terminus
7864423	Pfam	PF13609	Gram-negative porin
1933543	Pfam	PF04966	Carbohydrate-selective porin, OprB family
1933336	Pfam	PF00006	ATP synthase alpha/beta family, nucleotide-binding domain
8192283	Pfam	PF13609	Gram-negative porin
13139971	Pfam	PF04069	Substrate binding domain of ABC-type glycine betaine transport system
10223833	Pfam	PF00390	Malic enzyme, N-terminal domain
10223833	Pfam	PF03949	Malic enzyme, NAD binding domain
10223833	Pfam	PF01515	Phosphate acetyl/butaryl transferase
6848727	Pfam	PF01593	Flavin containing amine oxidoreductase
1704009	Pfam	PF00593	TonB dependent receptor
