gene_callers_id	source	accession	function
14385553	Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.
14385553	Phobius	SIGNAL_PEPTIDE_H_REGION	Hydrophobic region of a signal peptide.
14385553	Phobius	SIGNAL_PEPTIDE	Signal peptide region
14385553	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.
14385553	Phobius	SIGNAL_PEPTIDE_C_REGION	C-terminal region of a signal peptide.
9896189	Phobius	SIGNAL_PEPTIDE_C_REGION	C-terminal region of a signal peptide.
9896189	Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.
9896189	Phobius	SIGNAL_PEPTIDE	Signal peptide region
9896189	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.
9896189	Phobius	SIGNAL_PEPTIDE_H_REGION	Hydrophobic region of a signal peptide.
5931163	Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.
5931163	Phobius	SIGNAL_PEPTIDE_C_REGION	C-terminal region of a signal peptide.
5931163	Phobius	SIGNAL_PEPTIDE_H_REGION	Hydrophobic region of a signal peptide.
5931163	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.
5931163	Phobius	SIGNAL_PEPTIDE	Signal peptide region
11010506	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.
11010506	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.
11010506	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.
11010506	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.
11010506	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.
11010506	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.
11010506	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.
11010506	Phobius	CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.
11010506	Phobius	CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.
11010506	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.
11010506	Phobius	CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.
11010506	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.
11010506	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.
11010506	Phobius	CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.
11010506	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.
11010506	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.
