gene_callers_id	source	accession	function
13336742	NCBIfam	TIGR03625	50S ribosomal protein L3
7635048	NCBIfam	TIGR00231	small GTP-binding protein domain
7635048	NCBIfam	TIGR00485	elongation factor Tu
9896189	NCBIfam	TIGR01782	TonB-dependent receptor
6094967	NCBIfam	TIGR02348	chaperonin GroEL
1507701	NCBIfam	TIGR00717	30S ribosomal protein S1
3997834	NCBIfam	TIGR01215	cell division topological specificity factor MinE
8061048	NCBIfam	TIGR01039	F0F1 ATP synthase subunit beta
11501979	NCBIfam	TIGR01932	protease modulator HflC
8159425	NCBIfam	NF037995	TRAP transporter substrate-binding protein DctP
9765076	NCBIfam	TIGR00115	trigger factor
1933336	NCBIfam	TIGR01039	F0F1 ATP synthase subunit beta
6848727	NCBIfam	TIGR02731	15-cis-phytoene desaturase
786568	NCBIfam	TIGR04057	SusC/RagA subfamily TonB-dependent outer membrane receptor, signature region
786568	NCBIfam	TIGR04056	SusC/RagA family TonB-linked outer membrane protein
6553786	NCBIfam	TIGR00127	isocitrate dehydrogenase (NADP(+))
4653274	NCBIfam	TIGR01351	adenylate kinase
14549363	NCBIfam	TIGR01933	FtsH protease activity modulator HflK
13336767	NCBIfam	TIGR00059	50S ribosomal protein L17
2129962	NCBIfam	TIGR02348	chaperonin GroEL
1933634	NCBIfam	TIGR03591	polyribonucleotide nucleotidyltransferase
4620650	NCBIfam	TIGR01150	photosynthetic reaction center subunit H
13336757	NCBIfam	TIGR03654	50S ribosomal protein L6
10682587	NCBIfam	TIGR00485	elongation factor Tu
10682587	NCBIfam	TIGR00231	small GTP-binding protein domain
7504090	NCBIfam	TIGR00653	glutamine synthetase, type I
13336753	NCBIfam	TIGR01079	50S ribosomal protein L24
13828321	NCBIfam	TIGR01187	polyamine ABC transporter ATP-binding protein
13336766	NCBIfam	TIGR02027	DNA-directed RNA polymerase subunit alpha
13336743	NCBIfam	TIGR03953	50S ribosomal protein L4
10060005	NCBIfam	TIGR00464	glutamate--tRNA ligase
9175358	NCBIfam	TIGR00962	F0F1 ATP synthase subunit alpha
3703205	NCBIfam	TIGR02013	DNA-directed RNA polymerase subunit beta
7078171	NCBIfam	TIGR00260	threonine synthase
10289546	NCBIfam	TIGR00132	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA
2425114	NCBIfam	TIGR01933	FtsH protease activity modulator HflK
10715479	NCBIfam	TIGR00962	F0F1 ATP synthase subunit alpha
7504057	NCBIfam	TIGR02350	molecular chaperone DnaK
11796857	NCBIfam	TIGR00875	fructose-6-phosphate aldolase
3019195	NCBIfam	TIGR02348	chaperonin GroEL
16093847	NCBIfam	TIGR01039	F0F1 ATP synthase subunit beta
11211427	NCBIfam	TIGR01039	F0F1 ATP synthase subunit beta
6329028	NCBIfam	TIGR00400	magnesium transporter
7738191	NCBIfam	TIGR02388	DNA-directed RNA polymerase subunit beta''
15929788	NCBIfam	TIGR00382	ATP-dependent protease ATP-binding subunit ClpX
11539171	NCBIfam	TIGR04056	SusC/RagA family TonB-linked outer membrane protein
9015816	NCBIfam	TIGR02802	peptidoglycan-associated lipoprotein Pal
2560614	NCBIfam	TIGR00362	chromosomal replication initiator protein DnaA
10326614	NCBIfam	TIGR01932	protease modulator HflC
1905406	NCBIfam	TIGR03407	urea ABC transporter substrate-binding protein
12751411	NCBIfam	TIGR02348	chaperonin GroEL
9966391	NCBIfam	TIGR01783	TonB-dependent siderophore receptor
4395593	NCBIfam	TIGR00855	50S ribosomal protein L7/L12
11112989	NCBIfam	TIGR01029	30S ribosomal protein S7
12325553	NCBIfam	TIGR02188	acetate--CoA ligase
14881315	NCBIfam	TIGR00036	4-hydroxy-tetrahydrodipicolinate reductase
2855615	NCBIfam	TIGR04056	SusC/RagA family TonB-linked outer membrane protein
8851963	NCBIfam	TIGR00663	DNA polymerase III subunit beta
3445383	NCBIfam	TIGR00485	elongation factor Tu
3445383	NCBIfam	TIGR00231	small GTP-binding protein domain
8688384	NCBIfam	TIGR00972	phosphate ABC transporter ATP-binding protein PstB
4658000	NCBIfam	TIGR02348	chaperonin GroEL
6165072	NCBIfam	TIGR03591	polyribonucleotide nucleotidyltransferase
13243021	NCBIfam	TIGR04057	SusC/RagA subfamily TonB-dependent outer membrane receptor, signature region
13243021	NCBIfam	TIGR04056	SusC/RagA family TonB-linked outer membrane protein
10130014	NCBIfam	TIGR01326	O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase
5378878	NCBIfam	TIGR01050	30S ribosomal protein S19
10588627	NCBIfam	TIGR01241	ATP-dependent zinc metalloprotease FtsH
15405839	NCBIfam	TIGR01327	phosphoglycerate dehydrogenase
332515	NCBIfam	TIGR01534	glyceraldehyde-3-phosphate dehydrogenase, type I
234178	NCBIfam	TIGR02348	chaperonin GroEL
8491722	NCBIfam	TIGR03407	urea ABC transporter substrate-binding protein
14717374	NCBIfam	TIGR00065	cell division protein FtsZ
1839634	NCBIfam	TIGR02122	TAXI family TRAP transporter solute-binding subunit
201483	NCBIfam	TIGR02348	chaperonin GroEL
4821478	NCBIfam	TIGR00763	endopeptidase La
7607012	NCBIfam	TIGR03591	polyribonucleotide nucleotidyltransferase
16159528	NCBIfam	TIGR01049	30S ribosomal protein S10
14029414	NCBIfam	TIGR01039	F0F1 ATP synthase subunit beta
7078524	NCBIfam	TIGR00337	CTP synthase (glutamine hydrolyzing)
3703634	NCBIfam	TIGR01752	flavodoxin
5866089	NCBIfam	TIGR01933	FtsH protease activity modulator HflK
492467	NCBIfam	TIGR04056	SusC/RagA family TonB-linked outer membrane protein
492467	NCBIfam	TIGR04057	SusC/RagA subfamily TonB-dependent outer membrane receptor, signature region
1868282	NCBIfam	TIGR00231	small GTP-binding protein domain
1868282	NCBIfam	TIGR00485	elongation factor Tu
1475490	NCBIfam	TIGR00731	50S ribosomal protein L25
10158831	NCBIfam	TIGR04056	SusC/RagA family TonB-linked outer membrane protein
4490025	NCBIfam	TIGR00390	HslU--HslV peptidase ATPase subunit
3572237	NCBIfam	TIGR01736	phosphoribosylformylglycinamidine synthase subunit PurL
4325881	NCBIfam	TIGR01009	30S ribosomal protein S3
10355576	NCBIfam	TIGR01060	phosphopyruvate hydratase
6095336	NCBIfam	TIGR02348	chaperonin GroEL
16909102	NCBIfam	TIGR02027	DNA-directed RNA polymerase subunit alpha
4260698	NCBIfam	TIGR02386	DNA-directed RNA polymerase subunit beta'
1901096	NCBIfam	TIGR01186	betaine/proline/choline family ABC transporter ATP-binding protein
5898969	NCBIfam	TIGR01024	50S ribosomal protein L19
16483098	NCBIfam	TIGR00653	glutamine synthetase, type I
9208353	NCBIfam	TIGR01241	ATP-dependent zinc metalloprotease FtsH
16417256	NCBIfam	TIGR02348	chaperonin GroEL
6161287	NCBIfam	TIGR00485	elongation factor Tu
6161287	NCBIfam	TIGR00231	small GTP-binding protein domain
10027829	NCBIfam	TIGR00263	tryptophan synthase subunit beta
918192	NCBIfam	TIGR02027	DNA-directed RNA polymerase subunit alpha
4325871	NCBIfam	TIGR01021	30S ribosomal protein S5
230319	NCBIfam	TIGR03591	polyribonucleotide nucleotidyltransferase
14123859	NCBIfam	TIGR02655	circadian clock protein KaiC
5178224	NCBIfam	TIGR03075	PQQ-dependent dehydrogenase, methanol/ethanol family
5210712	NCBIfam	TIGR01011	30S ribosomal protein S2
5210709	NCBIfam	TIGR02350	molecular chaperone DnaK
11272830	NCBIfam	TIGR00485	elongation factor Tu
11272830	NCBIfam	TIGR00231	small GTP-binding protein domain
16548653	NCBIfam	TIGR01039	F0F1 ATP synthase subunit beta
3380470	NCBIfam	TIGR01152	photosystem II D2 protein (photosystem q(a) protein)
16618682	NCBIfam	TIGR00065	cell division protein FtsZ
7279866	NCBIfam	TIGR01060	phosphopyruvate hydratase
16422025	NCBIfam	TIGR01932	protease modulator HflC
10458048	NCBIfam	TIGR03644	probable ammonium transporter, marine subtype
12653696	NCBIfam	TIGR00653	glutamine synthetase, type I
10753164	NCBIfam	TIGR00653	glutamine synthetase, type I
12719126	NCBIfam	TIGR00962	F0F1 ATP synthase subunit alpha
12817238	NCBIfam	TIGR02504	adenosylcobalamin-dependent ribonucleoside-diphosphate reductase
4166808	NCBIfam	TIGR01241	ATP-dependent zinc metalloprotease FtsH
5837723	NCBIfam	TIGR00963	preprotein translocase subunit SecA
16323468	NCBIfam	TIGR04056	SusC/RagA family TonB-linked outer membrane protein
6231271	NCBIfam	TIGR04056	SusC/RagA family TonB-linked outer membrane protein
6231271	NCBIfam	TIGR04057	SusC/RagA subfamily TonB-dependent outer membrane receptor, signature region
2233268	NCBIfam	TIGR02386	DNA-directed RNA polymerase subunit beta'
5149739	NCBIfam	TIGR00403	NAD(P)H-quinone oxidoreductase subunit I
5149739	NCBIfam	TIGR01971	NADH-quinone oxidoreductase, chain I
4691148	NCBIfam	TIGR00653	glutamine synthetase, type I
14521556	NCBIfam	TIGR00757	Rne/Rng family ribonuclease
14619571	NCBIfam	NF037995	TRAP transporter substrate-binding protein DctP
7378110	NCBIfam	TIGR04057	SusC/RagA subfamily TonB-dependent outer membrane receptor, signature region
7378110	NCBIfam	TIGR04056	SusC/RagA family TonB-linked outer membrane protein
8655947	NCBIfam	TIGR00485	elongation factor Tu
